(img_auth_det) C:\Users\RITESH\OneDrive\Desktop\livres\PROJECTS\image_authenticity_detector\scripts>python training_full.py
Running on device: cuda
Starting full training
Epoch 1 | Batch 2725/8918 | Loss: 0.3495
Epoch 1 | Batch 2750/8918 | Loss: 0.1367
Epoch 1 | Batch 2775/8918 | Loss: 0.2357
Epoch 1 | Batch 2800/8918 | Loss: 0.3599
Epoch 1 | Batch 2825/8918 | Loss: 0.3817
Epoch 1 | Batch 2850/8918 | Loss: 0.1500
Epoch 1 | Batch 2875/8918 | Loss: 0.4264
Epoch 1 | Batch 2900/8918 | Loss: 0.2419
Epoch 1 | Batch 2925/8918 | Loss: 0.5077
Epoch 1 | Batch 2950/8918 | Loss: 0.3961
Epoch 1 | Batch 2975/8918 | Loss: 0.3236
Epoch 1 | Batch 3000/8918 | Loss: 0.0623
Epoch 1 | Batch 3025/8918 | Loss: 0.4433
Epoch 1 | Batch 3050/8918 | Loss: 0.9851
Epoch 1 | Batch 3075/8918 | Loss: 0.3480
Epoch 1 | Batch 3100/8918 | Loss: 0.4609
Epoch 1 | Batch 3125/8918 | Loss: 0.5133
Epoch 1 | Batch 3150/8918 | Loss: 0.4997
Epoch 1 | Batch 3175/8918 | Loss: 0.7764
Epoch 1 | Batch 3200/8918 | Loss: 0.5515
Epoch 1 | Batch 3225/8918 | Loss: 0.2975
Epoch 1 | Batch 3250/8918 | Loss: 0.2021
Epoch 1 | Batch 3275/8918 | Loss: 0.4879
Epoch 1 | Batch 3300/8918 | Loss: 0.1383
Epoch 1 | Batch 3325/8918 | Loss: 0.1196
Epoch 1 | Batch 3350/8918 | Loss: 0.4695
Epoch 1 | Batch 3375/8918 | Loss: 0.4092
Epoch 1 | Batch 3400/8918 | Loss: 0.4135
Epoch 1 | Batch 3425/8918 | Loss: 0.7488
Epoch 1 | Batch 3450/8918 | Loss: 0.4637
Epoch 1 | Batch 3475/8918 | Loss: 0.7292
Epoch 1 | Batch 3500/8918 | Loss: 0.5066
Epoch 1 | Batch 3525/8918 | Loss: 0.1695
Epoch 1 | Batch 3550/8918 | Loss: 0.3648
Epoch 1 | Batch 3575/8918 | Loss: 0.5038
Epoch 1 | Batch 3600/8918 | Loss: 0.2832
Epoch 1 | Batch 3625/8918 | Loss: 0.2967
Epoch 1 | Batch 3650/8918 | Loss: 0.4848
Epoch 1 | Batch 3675/8918 | Loss: 0.3714
Epoch 1 | Batch 3700/8918 | Loss: 0.1973
Epoch 1 | Batch 3725/8918 | Loss: 0.1860
Epoch 1 | Batch 3750/8918 | Loss: 0.1471
Epoch 1 | Batch 3775/8918 | Loss: 0.3553
Epoch 1 | Batch 3800/8918 | Loss: 0.3021
Epoch 1 | Batch 3825/8918 | Loss: 0.2079
Epoch 1 | Batch 3850/8918 | Loss: 0.8667
Epoch 1 | Batch 3875/8918 | Loss: 0.2607
Epoch 1 | Batch 3900/8918 | Loss: 0.4191
Epoch 1 | Batch 3925/8918 | Loss: 0.2885
Epoch 1 | Batch 3950/8918 | Loss: 0.2598
Epoch 1 | Batch 3975/8918 | Loss: 0.7088
Epoch 1 | Batch 4000/8918 | Loss: 0.8550
Epoch 1 | Batch 4025/8918 | Loss: 0.2394
Epoch 1 | Batch 4050/8918 | Loss: 0.1906
Epoch 1 | Batch 4075/8918 | Loss: 0.4971
Epoch 1 | Batch 4100/8918 | Loss: 0.2945
Epoch 1 | Batch 4125/8918 | Loss: 0.2532
Epoch 1 | Batch 4150/8918 | Loss: 0.5916
Epoch 1 | Batch 4175/8918 | Loss: 0.1955
Epoch 1 | Batch 4200/8918 | Loss: 0.2381
Epoch 1 | Batch 4225/8918 | Loss: 0.3774
Epoch 1 | Batch 4250/8918 | Loss: 0.1786
Epoch 1 | Batch 4275/8918 | Loss: 0.1436
Epoch 1 | Batch 4300/8918 | Loss: 0.3886
Epoch 1 | Batch 4325/8918 | Loss: 0.1463
Epoch 1 | Batch 4350/8918 | Loss: 0.6159
Epoch 1 | Batch 4375/8918 | Loss: 0.2632
Epoch 1 | Batch 4400/8918 | Loss: 0.4468
Epoch 1 | Batch 4425/8918 | Loss: 0.3191
Epoch 1 | Batch 4450/8918 | Loss: 0.3348
Epoch 1 | Batch 4475/8918 | Loss: 0.3756
Epoch 1 | Batch 4500/8918 | Loss: 0.4983
Epoch 1 | Batch 4525/8918 | Loss: 0.2059
Epoch 1 | Batch 4550/8918 | Loss: 0.1429
Epoch 1 | Batch 4575/8918 | Loss: 0.1426
Epoch 1 | Batch 4600/8918 | Loss: 0.6927
Epoch 1 | Batch 4625/8918 | Loss: 0.1415
Epoch 1 | Batch 4650/8918 | Loss: 0.1932
Epoch 1 | Batch 4675/8918 | Loss: 0.3462
Epoch 1 | Batch 4700/8918 | Loss: 0.1924
Epoch 1 | Batch 4725/8918 | Loss: 0.2568
Epoch 1 | Batch 4750/8918 | Loss: 0.3929
Epoch 1 | Batch 4775/8918 | Loss: 0.3718
Epoch 1 | Batch 4800/8918 | Loss: 0.2993
Epoch 1 | Batch 4825/8918 | Loss: 0.0995
Epoch 1 | Batch 4850/8918 | Loss: 0.1275
Epoch 1 | Batch 4875/8918 | Loss: 0.2848
Epoch 1 | Batch 4900/8918 | Loss: 0.6521
Epoch 1 | Batch 4925/8918 | Loss: 0.3588
Epoch 1 | Batch 4950/8918 | Loss: 0.5912
Epoch 1 | Batch 4975/8918 | Loss: 0.1758
Epoch 1 | Batch 5000/8918 | Loss: 0.2897
Epoch 1 | Batch 5025/8918 | Loss: 0.2026
Epoch 1 | Batch 5050/8918 | Loss: 0.1810
Epoch 1 | Batch 5075/8918 | Loss: 0.2842
Epoch 1 | Batch 5100/8918 | Loss: 0.1434
Epoch 1 | Batch 5125/8918 | Loss: 0.4717
Epoch 1 | Batch 5150/8918 | Loss: 0.5062
Epoch 1 | Batch 5175/8918 | Loss: 0.3267
Epoch 1 | Batch 5200/8918 | Loss: 0.2671
Epoch 1 | Batch 5225/8918 | Loss: 0.1889
Epoch 1 | Batch 5250/8918 | Loss: 0.6813
Epoch 1 | Batch 5275/8918 | Loss: 0.3043
Epoch 1 | Batch 5300/8918 | Loss: 0.2757
Epoch 1 | Batch 5325/8918 | Loss: 0.1257
Epoch 1 | Batch 5350/8918 | Loss: 0.6637
Epoch 1 | Batch 5375/8918 | Loss: 0.2812
Epoch 1 | Batch 5400/8918 | Loss: 0.2112
Epoch 1 | Batch 5425/8918 | Loss: 0.4177
Epoch 1 | Batch 5450/8918 | Loss: 0.5018
Epoch 1 | Batch 5475/8918 | Loss: 0.4871
Epoch 1 | Batch 5500/8918 | Loss: 0.4332
Epoch 1 | Batch 5525/8918 | Loss: 0.4393
Epoch 1 | Batch 5550/8918 | Loss: 0.2817
Epoch 1 | Batch 5575/8918 | Loss: 0.2292
Epoch 1 | Batch 5600/8918 | Loss: 0.5387
Epoch 1 | Batch 5625/8918 | Loss: 0.0802
Epoch 1 | Batch 5650/8918 | Loss: 0.1231
Epoch 1 | Batch 5675/8918 | Loss: 0.6160
Epoch 1 | Batch 5700/8918 | Loss: 0.1015
Epoch 1 | Batch 5725/8918 | Loss: 0.1139
Epoch 1 | Batch 5750/8918 | Loss: 0.5136
Epoch 1 | Batch 5775/8918 | Loss: 0.3844
Epoch 1 | Batch 5800/8918 | Loss: 0.2732
Epoch 1 | Batch 5825/8918 | Loss: 0.8588
Epoch 1 | Batch 5850/8918 | Loss: 0.2521
Epoch 1 | Batch 5875/8918 | Loss: 0.3341
Epoch 1 | Batch 5900/8918 | Loss: 0.1019
Epoch 1 | Batch 5925/8918 | Loss: 0.5189
Epoch 1 | Batch 5950/8918 | Loss: 0.3522
Epoch 1 | Batch 5975/8918 | Loss: 0.5738
Epoch 1 | Batch 6000/8918 | Loss: 0.6215
Epoch 1 | Batch 6025/8918 | Loss: 0.0875
Epoch 1 | Batch 6050/8918 | Loss: 0.3646
Epoch 1 | Batch 6075/8918 | Loss: 0.2451
Epoch 1 | Batch 6100/8918 | Loss: 0.3674
Epoch 1 | Batch 6125/8918 | Loss: 0.0946
Epoch 1 | Batch 6150/8918 | Loss: 0.2957
